id,name,description,categories,opening_hour,closing_hour
194,Blue Bar & Grill,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",Fast food,6:00 AM,10:00 PM
195,UT Creamery,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Italian food,8:00 AM,11:00 PM
196,Hungry Coffee,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,French food,7:00 AM,8:00 PM
197,Blue Plate Sushi,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",French food,9:00 AM,10:00 PM
198,Sweet House,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Fast food,6:00 AM,10:00 PM
199,Spice Deli,"SVIs mission is to deliver quality products at affordable prices to our independent retailers, wholesalers and food service partners around the world by providing international procurement, distribution, marketing and supply chain management.",Fast food,10:00 AM,8:00 PM
200,Generated Restaurant 200,This is a sample description for Generated Restaurant 200.,Sample Category,9:00 AM,11:00 PM
201,Generated Restaurant 201,This is a sample description for Generated Restaurant 201.,Sample Category,7:00 AM,8:00 PM
202,Generated Restaurant 202,This is a sample description for Generated Restaurant 202.,Sample Category,9:00 AM,8:00 PM
203,Generated Restaurant 203,This is a sample description for Generated Restaurant 203.,Sample Category,8:00 AM,8:00 PM
204,Generated Restaurant 204,This is a sample description for Generated Restaurant 204.,Sample Category,9:00 AM,11:00 PM
205,Generated Restaurant 205,This is a sample description for Generated Restaurant 205.,Sample Category,7:00 AM,10:00 PM
206,Generated Restaurant 206,This is a sample description for Generated Restaurant 206.,Sample Category,9:00 AM,9:00 PM
207,Generated Restaurant 207,This is a sample description for Generated Restaurant 207.,Sample Category,10:00 AM,11:00 PM
208,Generated Restaurant 208,This is a sample description for Generated Restaurant 208.,Sample Category,9:00 AM,11:00 PM
209,Generated Restaurant 209,This is a sample description for Generated Restaurant 209.,Sample Category,9:00 AM,10:00 PM
210,Generated Restaurant 210,This is a sample description for Generated Restaurant 210.,Sample Category,9:00 AM,8:00 PM
211,Generated Restaurant 211,This is a sample description for Generated Restaurant 211.,Sample Category,6:00 AM,10:00 PM
212,Generated Restaurant 212,This is a sample description for Generated Restaurant 212.,Sample Category,7:00 AM,11:00 PM
213,Generated Restaurant 213,This is a sample description for Generated Restaurant 213.,Sample Category,7:00 AM,10:00 PM
214,Generated Restaurant 214,This is a sample description for Generated Restaurant 214.,Sample Category,9:00 AM,11:00 PM
215,Generated Restaurant 215,This is a sample description for Generated Restaurant 215.,Sample Category,8:00 AM,11:00 PM
216,Generated Restaurant 216,This is a sample description for Generated Restaurant 216.,Sample Category,7:00 AM,11:00 PM
217,Generated Restaurant 217,This is a sample description for Generated Restaurant 217.,Sample Category,7:00 AM,10:00 PM
218,Generated Restaurant 218,This is a sample description for Generated Restaurant 218.,Sample Category,10:00 AM,8:00 PM
219,Generated Restaurant 219,This is a sample description for Generated Restaurant 219.,Sample Category,9:00 AM,10:00 PM
220,Generated Restaurant 220,This is a sample description for Generated Restaurant 220.,Sample Category,6:00 AM,8:00 PM
221,Generated Restaurant 221,This is a sample description for Generated Restaurant 221.,Sample Category,9:00 AM,9:00 PM
222,Generated Restaurant 222,This is a sample description for Generated Restaurant 222.,Sample Category,6:00 AM,9:00 PM
223,Generated Restaurant 223,This is a sample description for Generated Restaurant 223.,Sample Category,9:00 AM,8:00 PM
224,Generated Restaurant 224,This is a sample description for Generated Restaurant 224.,Sample Category,9:00 AM,8:00 PM
225,Generated Restaurant 225,This is a sample description for Generated Restaurant 225.,Sample Category,6:00 AM,11:00 PM
226,Generated Restaurant 226,This is a sample description for Generated Restaurant 226.,Sample Category,7:00 AM,8:00 PM
227,Generated Restaurant 227,This is a sample description for Generated Restaurant 227.,Sample Category,8:00 AM,10:00 PM
228,Generated Restaurant 228,This is a sample description for Generated Restaurant 228.,Sample Category,10:00 AM,9:00 PM
229,Generated Restaurant 229,This is a sample description for Generated Restaurant 229.,Sample Category,10:00 AM,11:00 PM
230,Generated Restaurant 230,This is a sample description for Generated Restaurant 230.,Sample Category,7:00 AM,8:00 PM
231,Generated Restaurant 231,This is a sample description for Generated Restaurant 231.,Sample Category,7:00 AM,10:00 PM
232,Generated Restaurant 232,This is a sample description for Generated Restaurant 232.,Sample Category,9:00 AM,11:00 PM
233,Generated Restaurant 233,This is a sample description for Generated Restaurant 233.,Sample Category,9:00 AM,9:00 PM
234,Generated Restaurant 234,This is a sample description for Generated Restaurant 234.,Sample Category,10:00 AM,8:00 PM
235,Generated Restaurant 235,This is a sample description for Generated Restaurant 235.,Sample Category,6:00 AM,11:00 PM
236,Generated Restaurant 236,This is a sample description for Generated Restaurant 236.,Sample Category,7:00 AM,10:00 PM
237,Generated Restaurant 237,This is a sample description for Generated Restaurant 237.,Sample Category,7:00 AM,9:00 PM
238,Generated Restaurant 238,This is a sample description for Generated Restaurant 238.,Sample Category,8:00 AM,9:00 PM
239,Generated Restaurant 239,This is a sample description for Generated Restaurant 239.,Sample Category,7:00 AM,10:00 PM
240,Generated Restaurant 240,This is a sample description for Generated Restaurant 240.,Sample Category,6:00 AM,8:00 PM
241,Generated Restaurant 241,This is a sample description for Generated Restaurant 241.,Sample Category,7:00 AM,10:00 PM
242,Generated Restaurant 242,This is a sample description for Generated Restaurant 242.,Sample Category,9:00 AM,8:00 PM
243,Generated Restaurant 243,This is a sample description for Generated Restaurant 243.,Sample Category,10:00 AM,10:00 PM
244,Generated Restaurant 244,This is a sample description for Generated Restaurant 244.,Sample Category,8:00 AM,10:00 PM
245,Generated Restaurant 245,This is a sample description for Generated Restaurant 245.,Sample Category,10:00 AM,11:00 PM
246,Generated Restaurant 246,This is a sample description for Generated Restaurant 246.,Sample Category,9:00 AM,11:00 PM
247,Generated Restaurant 247,This is a sample description for Generated Restaurant 247.,Sample Category,7:00 AM,11:00 PM
248,Generated Restaurant 248,This is a sample description for Generated Restaurant 248.,Sample Category,9:00 AM,10:00 PM
249,Generated Restaurant 249,This is a sample description for Generated Restaurant 249.,Sample Category,7:00 AM,8:00 PM
250,Generated Restaurant 250,This is a sample description for Generated Restaurant 250.,Sample Category,7:00 AM,8:00 PM
251,Generated Restaurant 251,This is a sample description for Generated Restaurant 251.,Sample Category,10:00 AM,10:00 PM
252,Generated Restaurant 252,This is a sample description for Generated Restaurant 252.,Sample Category,10:00 AM,11:00 PM
253,Generated Restaurant 253,This is a sample description for Generated Restaurant 253.,Sample Category,8:00 AM,9:00 PM
254,Generated Restaurant 254,This is a sample description for Generated Restaurant 254.,Sample Category,7:00 AM,10:00 PM
255,Generated Restaurant 255,This is a sample description for Generated Restaurant 255.,Sample Category,9:00 AM,10:00 PM
256,Generated Restaurant 256,This is a sample description for Generated Restaurant 256.,Sample Category,9:00 AM,10:00 PM
257,Generated Restaurant 257,This is a sample description for Generated Restaurant 257.,Sample Category,6:00 AM,9:00 PM
258,Generated Restaurant 258,This is a sample description for Generated Restaurant 258.,Sample Category,10:00 AM,9:00 PM
259,Generated Restaurant 259,This is a sample description for Generated Restaurant 259.,Sample Category,10:00 AM,8:00 PM
260,Generated Restaurant 260,This is a sample description for Generated Restaurant 260.,Sample Category,7:00 AM,10:00 PM
261,Generated Restaurant 261,This is a sample description for Generated Restaurant 261.,Sample Category,6:00 AM,10:00 PM
262,Generated Restaurant 262,This is a sample description for Generated Restaurant 262.,Sample Category,6:00 AM,11:00 PM
263,Generated Restaurant 263,This is a sample description for Generated Restaurant 263.,Sample Category,8:00 AM,8:00 PM
264,Generated Restaurant 264,This is a sample description for Generated Restaurant 264.,Sample Category,9:00 AM,8:00 PM
265,Generated Restaurant 265,This is a sample description for Generated Restaurant 265.,Sample Category,7:00 AM,10:00 PM
266,Generated Restaurant 266,This is a sample description for Generated Restaurant 266.,Sample Category,8:00 AM,10:00 PM
267,Generated Restaurant 267,This is a sample description for Generated Restaurant 267.,Sample Category,10:00 AM,10:00 PM
268,Generated Restaurant 268,This is a sample description for Generated Restaurant 268.,Sample Category,10:00 AM,10:00 PM
269,Generated Restaurant 269,This is a sample description for Generated Restaurant 269.,Sample Category,9:00 AM,11:00 PM
270,Generated Restaurant 270,This is a sample description for Generated Restaurant 270.,Sample Category,9:00 AM,10:00 PM
271,Generated Restaurant 271,This is a sample description for Generated Restaurant 271.,Sample Category,9:00 AM,8:00 PM
272,Generated Restaurant 272,This is a sample description for Generated Restaurant 272.,Sample Category,9:00 AM,9:00 PM
273,Generated Restaurant 273,This is a sample description for Generated Restaurant 273.,Sample Category,7:00 AM,10:00 PM
274,Generated Restaurant 274,This is a sample description for Generated Restaurant 274.,Sample Category,7:00 AM,11:00 PM
275,Generated Restaurant 275,This is a sample description for Generated Restaurant 275.,Sample Category,6:00 AM,11:00 PM
276,Generated Restaurant 276,This is a sample description for Generated Restaurant 276.,Sample Category,10:00 AM,11:00 PM
277,Generated Restaurant 277,This is a sample description for Generated Restaurant 277.,Sample Category,8:00 AM,8:00 PM
278,Generated Restaurant 278,This is a sample description for Generated Restaurant 278.,Sample Category,6:00 AM,8:00 PM
279,Generated Restaurant 279,This is a sample description for Generated Restaurant 279.,Sample Category,8:00 AM,9:00 PM
280,Generated Restaurant 280,This is a sample description for Generated Restaurant 280.,Sample Category,6:00 AM,9:00 PM
281,Generated Restaurant 281,This is a sample description for Generated Restaurant 281.,Sample Category,9:00 AM,9:00 PM
282,Generated Restaurant 282,This is a sample description for Generated Restaurant 282.,Sample Category,10:00 AM,11:00 PM
283,Generated Restaurant 283,This is a sample description for Generated Restaurant 283.,Sample Category,6:00 AM,10:00 PM
284,Generated Restaurant 284,This is a sample description for Generated Restaurant 284.,Sample Category,7:00 AM,10:00 PM
285,Generated Restaurant 285,This is a sample description for Generated Restaurant 285.,Sample Category,7:00 AM,10:00 PM
286,Generated Restaurant 286,This is a sample description for Generated Restaurant 286.,Sample Category,10:00 AM,9:00 PM
287,Generated Restaurant 287,This is a sample description for Generated Restaurant 287.,Sample Category,7:00 AM,10:00 PM
288,Generated Restaurant 288,This is a sample description for Generated Restaurant 288.,Sample Category,10:00 AM,11:00 PM
289,Generated Restaurant 289,This is a sample description for Generated Restaurant 289.,Sample Category,8:00 AM,11:00 PM
290,Generated Restaurant 290,This is a sample description for Generated Restaurant 290.,Sample Category,10:00 AM,10:00 PM
291,Generated Restaurant 291,This is a sample description for Generated Restaurant 291.,Sample Category,9:00 AM,9:00 PM
292,Generated Restaurant 292,This is a sample description for Generated Restaurant 292.,Sample Category,10:00 AM,11:00 PM
293,Generated Restaurant 293,This is a sample description for Generated Restaurant 293.,Sample Category,8:00 AM,8:00 PM
294,Generated Restaurant 294,This is a sample description for Generated Restaurant 294.,Sample Category,7:00 AM,11:00 PM
295,Generated Restaurant 295,This is a sample description for Generated Restaurant 295.,Sample Category,8:00 AM,10:00 PM
296,Generated Restaurant 296,This is a sample description for Generated Restaurant 296.,Sample Category,9:00 AM,11:00 PM
297,Generated Restaurant 297,This is a sample description for Generated Restaurant 297.,Sample Category,6:00 AM,9:00 PM
298,Generated Restaurant 298,This is a sample description for Generated Restaurant 298.,Sample Category,8:00 AM,10:00 PM
299,Generated Restaurant 299,This is a sample description for Generated Restaurant 299.,Sample Category,10:00 AM,10:00 PM
300,Generated Restaurant 300,This is a sample description for Generated Restaurant 300.,Sample Category,8:00 AM,8:00 PM
301,Generated Restaurant 301,This is a sample description for Generated Restaurant 301.,Sample Category,9:00 AM,11:00 PM
302,Generated Restaurant 302,This is a sample description for Generated Restaurant 302.,Sample Category,7:00 AM,10:00 PM
303,Generated Restaurant 303,This is a sample description for Generated Restaurant 303.,Sample Category,7:00 AM,8:00 PM
304,Generated Restaurant 304,This is a sample description for Generated Restaurant 304.,Sample Category,8:00 AM,9:00 PM
305,Generated Restaurant 305,This is a sample description for Generated Restaurant 305.,Sample Category,6:00 AM,10:00 PM
306,Generated Restaurant 306,This is a sample description for Generated Restaurant 306.,Sample Category,10:00 AM,11:00 PM
307,Generated Restaurant 307,This is a sample description for Generated Restaurant 307.,Sample Category,8:00 AM,11:00 PM
308,Generated Restaurant 308,This is a sample description for Generated Restaurant 308.,Sample Category,9:00 AM,9:00 PM
309,Generated Restaurant 309,This is a sample description for Generated Restaurant 309.,Sample Category,7:00 AM,11:00 PM
310,Generated Restaurant 310,This is a sample description for Generated Restaurant 310.,Sample Category,8:00 AM,10:00 PM
311,Generated Restaurant 311,This is a sample description for Generated Restaurant 311.,Sample Category,7:00 AM,8:00 PM
312,Generated Restaurant 312,This is a sample description for Generated Restaurant 312.,Sample Category,10:00 AM,8:00 PM
313,Generated Restaurant 313,This is a sample description for Generated Restaurant 313.,Sample Category,9:00 AM,11:00 PM
314,Generated Restaurant 314,This is a sample description for Generated Restaurant 314.,Sample Category,9:00 AM,11:00 PM
315,Generated Restaurant 315,This is a sample description for Generated Restaurant 315.,Sample Category,10:00 AM,9:00 PM
316,Generated Restaurant 316,This is a sample description for Generated Restaurant 316.,Sample Category,8:00 AM,9:00 PM
317,Generated Restaurant 317,This is a sample description for Generated Restaurant 317.,Sample Category,8:00 AM,9:00 PM
318,Generated Restaurant 318,This is a sample description for Generated Restaurant 318.,Sample Category,10:00 AM,9:00 PM
319,Generated Restaurant 319,This is a sample description for Generated Restaurant 319.,Sample Category,6:00 AM,8:00 PM
320,Generated Restaurant 320,This is a sample description for Generated Restaurant 320.,Sample Category,6:00 AM,10:00 PM
321,Generated Restaurant 321,This is a sample description for Generated Restaurant 321.,Sample Category,7:00 AM,10:00 PM
322,Generated Restaurant 322,This is a sample description for Generated Restaurant 322.,Sample Category,8:00 AM,9:00 PM
323,Generated Restaurant 323,This is a sample description for Generated Restaurant 323.,Sample Category,8:00 AM,11:00 PM
324,Generated Restaurant 324,This is a sample description for Generated Restaurant 324.,Sample Category,6:00 AM,9:00 PM
325,Generated Restaurant 325,This is a sample description for Generated Restaurant 325.,Sample Category,8:00 AM,10:00 PM
326,Generated Restaurant 326,This is a sample description for Generated Restaurant 326.,Sample Category,7:00 AM,11:00 PM
327,Generated Restaurant 327,This is a sample description for Generated Restaurant 327.,Sample Category,7:00 AM,10:00 PM
328,Generated Restaurant 328,This is a sample description for Generated Restaurant 328.,Sample Category,6:00 AM,8:00 PM
329,Generated Restaurant 329,This is a sample description for Generated Restaurant 329.,Sample Category,10:00 AM,8:00 PM
330,Generated Restaurant 330,This is a sample description for Generated Restaurant 330.,Sample Category,8:00 AM,9:00 PM
331,Generated Restaurant 331,This is a sample description for Generated Restaurant 331.,Sample Category,10:00 AM,8:00 PM
332,Generated Restaurant 332,This is a sample description for Generated Restaurant 332.,Sample Category,9:00 AM,10:00 PM
333,Generated Restaurant 333,This is a sample description for Generated Restaurant 333.,Sample Category,8:00 AM,10:00 PM
334,Generated Restaurant 334,This is a sample description for Generated Restaurant 334.,Sample Category,9:00 AM,8:00 PM
335,Generated Restaurant 335,This is a sample description for Generated Restaurant 335.,Sample Category,6:00 AM,11:00 PM
336,Generated Restaurant 336,This is a sample description for Generated Restaurant 336.,Sample Category,9:00 AM,11:00 PM
337,Generated Restaurant 337,This is a sample description for Generated Restaurant 337.,Sample Category,7:00 AM,9:00 PM
338,Generated Restaurant 338,This is a sample description for Generated Restaurant 338.,Sample Category,8:00 AM,10:00 PM
339,Generated Restaurant 339,This is a sample description for Generated Restaurant 339.,Sample Category,6:00 AM,9:00 PM
340,Generated Restaurant 340,This is a sample description for Generated Restaurant 340.,Sample Category,7:00 AM,10:00 PM
341,Generated Restaurant 341,This is a sample description for Generated Restaurant 341.,Sample Category,10:00 AM,11:00 PM
342,Generated Restaurant 342,This is a sample description for Generated Restaurant 342.,Sample Category,7:00 AM,8:00 PM
343,Generated Restaurant 343,This is a sample description for Generated Restaurant 343.,Sample Category,10:00 AM,9:00 PM
344,Generated Restaurant 344,This is a sample description for Generated Restaurant 344.,Sample Category,8:00 AM,9:00 PM
345,Generated Restaurant 345,This is a sample description for Generated Restaurant 345.,Sample Category,7:00 AM,11:00 PM
346,Generated Restaurant 346,This is a sample description for Generated Restaurant 346.,Sample Category,10:00 AM,10:00 PM
347,Generated Restaurant 347,This is a sample description for Generated Restaurant 347.,Sample Category,9:00 AM,11:00 PM
348,Generated Restaurant 348,This is a sample description for Generated Restaurant 348.,Sample Category,7:00 AM,9:00 PM
349,Generated Restaurant 349,This is a sample description for Generated Restaurant 349.,Sample Category,9:00 AM,9:00 PM
350,Generated Restaurant 350,This is a sample description for Generated Restaurant 350.,Sample Category,10:00 AM,11:00 PM
351,Generated Restaurant 351,This is a sample description for Generated Restaurant 351.,Sample Category,9:00 AM,10:00 PM
352,Generated Restaurant 352,This is a sample description for Generated Restaurant 352.,Sample Category,8:00 AM,10:00 PM
353,Generated Restaurant 353,This is a sample description for Generated Restaurant 353.,Sample Category,8:00 AM,11:00 PM
354,Generated Restaurant 354,This is a sample description for Generated Restaurant 354.,Sample Category,10:00 AM,10:00 PM
355,Generated Restaurant 355,This is a sample description for Generated Restaurant 355.,Sample Category,8:00 AM,9:00 PM
356,Generated Restaurant 356,This is a sample description for Generated Restaurant 356.,Sample Category,7:00 AM,8:00 PM
357,Generated Restaurant 357,This is a sample description for Generated Restaurant 357.,Sample Category,7:00 AM,11:00 PM
358,Generated Restaurant 358,This is a sample description for Generated Restaurant 358.,Sample Category,10:00 AM,11:00 PM
359,Generated Restaurant 359,This is a sample description for Generated Restaurant 359.,Sample Category,7:00 AM,9:00 PM
360,Generated Restaurant 360,This is a sample description for Generated Restaurant 360.,Sample Category,10:00 AM,11:00 PM
361,Generated Restaurant 361,This is a sample description for Generated Restaurant 361.,Sample Category,8:00 AM,9:00 PM
362,Generated Restaurant 362,This is a sample description for Generated Restaurant 362.,Sample Category,7:00 AM,11:00 PM
363,Generated Restaurant 363,This is a sample description for Generated Restaurant 363.,Sample Category,7:00 AM,8:00 PM
364,Generated Restaurant 364,This is a sample description for Generated Restaurant 364.,Sample Category,6:00 AM,10:00 PM
365,Generated Restaurant 365,This is a sample description for Generated Restaurant 365.,Sample Category,6:00 AM,9:00 PM
366,Generated Restaurant 366,This is a sample description for Generated Restaurant 366.,Sample Category,8:00 AM,9:00 PM
367,Generated Restaurant 367,This is a sample description for Generated Restaurant 367.,Sample Category,10:00 AM,9:00 PM
368,Generated Restaurant 368,This is a sample description for Generated Restaurant 368.,Sample Category,7:00 AM,8:00 PM
369,Generated Restaurant 369,This is a sample description for Generated Restaurant 369.,Sample Category,7:00 AM,11:00 PM
370,Generated Restaurant 370,This is a sample description for Generated Restaurant 370.,Sample Category,7:00 AM,8:00 PM
371,Generated Restaurant 371,This is a sample description for Generated Restaurant 371.,Sample Category,10:00 AM,9:00 PM
372,Generated Restaurant 372,This is a sample description for Generated Restaurant 372.,Sample Category,6:00 AM,9:00 PM
373,Generated Restaurant 373,This is a sample description for Generated Restaurant 373.,Sample Category,7:00 AM,8:00 PM
374,Generated Restaurant 374,This is a sample description for Generated Restaurant 374.,Sample Category,9:00 AM,10:00 PM
375,Generated Restaurant 375,This is a sample description for Generated Restaurant 375.,Sample Category,10:00 AM,11:00 PM
376,Generated Restaurant 376,This is a sample description for Generated Restaurant 376.,Sample Category,10:00 AM,10:00 PM
377,Generated Restaurant 377,This is a sample description for Generated Restaurant 377.,Sample Category,10:00 AM,11:00 PM
378,Generated Restaurant 378,This is a sample description for Generated Restaurant 378.,Sample Category,9:00 AM,11:00 PM
379,Generated Restaurant 379,This is a sample description for Generated Restaurant 379.,Sample Category,9:00 AM,8:00 PM
380,Generated Restaurant 380,This is a sample description for Generated Restaurant 380.,Sample Category,10:00 AM,10:00 PM
381,Generated Restaurant 381,This is a sample description for Generated Restaurant 381.,Sample Category,10:00 AM,9:00 PM
382,Generated Restaurant 382,This is a sample description for Generated Restaurant 382.,Sample Category,6:00 AM,9:00 PM
383,Generated Restaurant 383,This is a sample description for Generated Restaurant 383.,Sample Category,8:00 AM,8:00 PM
384,Generated Restaurant 384,This is a sample description for Generated Restaurant 384.,Sample Category,8:00 AM,8:00 PM
385,Generated Restaurant 385,This is a sample description for Generated Restaurant 385.,Sample Category,9:00 AM,10:00 PM
386,Generated Restaurant 386,This is a sample description for Generated Restaurant 386.,Sample Category,9:00 AM,8:00 PM
387,Generated Restaurant 387,This is a sample description for Generated Restaurant 387.,Sample Category,9:00 AM,10:00 PM
388,Generated Restaurant 388,This is a sample description for Generated Restaurant 388.,Sample Category,6:00 AM,10:00 PM
389,Generated Restaurant 389,This is a sample description for Generated Restaurant 389.,Sample Category,9:00 AM,10:00 PM
390,Generated Restaurant 390,This is a sample description for Generated Restaurant 390.,Sample Category,10:00 AM,8:00 PM
391,Generated Restaurant 391,This is a sample description for Generated Restaurant 391.,Sample Category,8:00 AM,11:00 PM
392,Generated Restaurant 392,This is a sample description for Generated Restaurant 392.,Sample Category,6:00 AM,8:00 PM
393,Generated Restaurant 393,This is a sample description for Generated Restaurant 393.,Sample Category,8:00 AM,8:00 PM
394,Generated Restaurant 394,This is a sample description for Generated Restaurant 394.,Sample Category,7:00 AM,10:00 PM
395,Generated Restaurant 395,This is a sample description for Generated Restaurant 395.,Sample Category,8:00 AM,9:00 PM
396,Generated Restaurant 396,This is a sample description for Generated Restaurant 396.,Sample Category,6:00 AM,9:00 PM
397,Generated Restaurant 397,This is a sample description for Generated Restaurant 397.,Sample Category,6:00 AM,10:00 PM
398,Generated Restaurant 398,This is a sample description for Generated Restaurant 398.,Sample Category,8:00 AM,8:00 PM
399,Generated Restaurant 399,This is a sample description for Generated Restaurant 399.,Sample Category,8:00 AM,11:00 PM
